date,rating,review
22-Aug-24,5,Probably one of my top five favourite movies. If you like literally any other marvel movie you'll lo...
21-Aug-24,5,No words needed...it is a masterpiece.
19-Aug-24,5,Amazing movie ever. Proudly watched.
18-Aug-24,5,What a way to end the entire franchise and story. 10/10 from me
17-Aug-24,5,(I know i am 5 years late but i am currently watching all the avengers films so i can make a motive ...
12-Aug-24,5,"No other super hero movie tops this one. Beats most movies with the feels. Optimal story writing, su..."
10-Aug-24,5,"If you haven't watched this film, you are living under a rock. There's nothing to say about it, it's..."
10-Aug-24,5,"Como fan de la saga debo decir que es una excelente pelicula,para mi hay termino la saga,pero no es ..."
06-Aug-24,5,"If I could give a six out of five(?), I would. This movie was the absolute banger of 2019, the best ..."
04-Aug-24,5,Final fight is the most exhilarating movie moment ever. Wish I got to see it in theaters
03-Aug-24,4.5,"Does the impossible, I love this movie 3000"
02-Aug-24,5,"Epic,emotional, mind blowing! ❤️"
02-Aug-24,5,Best movie ever made
27-Jul-24,5,This is everything. Wow.
26-Jul-24,5,I saw this movie in theatre's the day after it came out and at the time me being 9 years old I thoug...
26-Jul-24,5,This movie is a masterpiece! The best Avengers movie and one of the best MCU movie!
26-Jul-24,5,This is Masterpieces
20-Jul-24,4.5,This is where 11 years of storytelling gets you: an epic ending and the opportunity to become the se...
16-Jul-24,5,"The mammoth of Marvel movies. Humor, action, extreme pull your heart out sadness. Love the Russo bro..."
15-Jul-24,4.5,It’s great and amazing but just not as good as infinity war but still a great sequel and conclusion ...
14-Jul-24,5,The best ending to the saga. Worth the 3 hours!
13-Jul-24,4.5,"I don’t think there will be another MCU movie that will top avengers endgame it has it all action, t..."
12-Jul-24,5,"This and Our Drawings are my two favorite movies. Every time I watch this movie, it is great."
12-Jul-24,5,"If you are a comic fan like myself, there is no denying that this is the best Comic book film ever p..."
10-Jul-24,5,I really liked the characters and actions of the actors
09-Jul-24,5,One of the greatest movies of all time which can be considered anybodies favorite movie!Is unbelieva...
09-Jul-24,5,"As a die-hard Marvel fan, Avengers: Endgame is nothing short of a cinematic masterpiece! From start ..."
06-Jul-24,4.5,"Although in my opinion, Infinity War is better than Endgame, this one is also good. The time travel ..."
05-Jul-24,5,Great ending for a story ten years in the making.
27-Jun-24,4.5,"Le doy cinco estrellas porque creo que se lo merecen, es una película increíble y en lo personal me ..."
23-Jun-24,4.5,"An incredible Marvel movie, also slightly held back by the background knowledge needed of the Marvel..."
23-Jun-24,5,Literally the best movie ever.
23-Jun-24,5,One of the best movies ever
22-Jun-24,4.5,"The last of the good Marvel films. From here it's all downhill. This truly feels like the end, good ..."
20-Jun-24,3,"Another superhero movie with lousy writing and plot holes, but gets overrated due action and visuals..."
20-Jun-24,5,A good spot to stop watching Marvel movies and shows. It is now 5 years after it's release and nothi...
17-Jun-24,4.5,Would recommend and absolutely love this movie. But i have 2 problems 1. Too long for story. Marvel ...
13-Jun-24,5,"It is a 3 hours movie, but the final battle are very much worth your time."
13-Jun-24,3.5,"6.5 out of 10. I watched this far, and gave IW a 9.5. wish this was better, but MCU has gone downhil..."
10-Jun-24,5,"It is rare to see movies that deliver on incredible hype, but this epic conclusion to an incredible ..."
10-Jun-24,4.5,It would have got 5 stars if it wasn’t for that god awful girl power scene at the end.
10-Jun-24,4.5,Easily one of the best movie of all time
10-Jun-24,5,"Utter Perfection. Packed with adventure, emotion, and closure."
09-Jun-24,4.5,Also pretty darn good.
06-Jun-24,4.5,"Only slightly, very slightly, worst then Infinity War, mainly due to some plot holes with the entire..."
03-Jun-24,5,The perfect way to end a perfect saga! This movie was 3 hours well spent!
03-Jun-24,5,"I really liked the movie, especially the scene where the characters that disappeared in the previous..."
31-May-24,5,I still think this is the most satisfying film in the MCU. Top tier action sequences and wraps up ch...
29-May-24,4.5,The best movie EVER made
26-May-24,5,"It is one of the most amazing movie I had ever seen. ""Avengers Assemble"" my fave part"
24-May-24,4,"An amazing ending, to an amazing journey. No matter what anyone says, I will always love Avengers: E..."
22-May-24,5,"The penultimate to the end of the Infinity Saga did everything you will love to see (action, visual ..."
08-May-24,5,I don't think there are words that I can conjur up to do this movie justice. A perfect ending to the...
08-May-24,5,Its not better than infinity war but its AVENGERS ENDGAME 11/10
06-May-24,5,"Some MCU films are below the 600-900 range, but I love ""Avengers: Endgame"" 3000."
01-May-24,5,"Considerando uma clássica história do universo Marvel, o filme foi um esplendor, arrasaram nos efeit..."
01-May-24,3.5,Vingadores ultimato tem seus méritos boa história boas lutas igual a todos os filmes da marvel esse ...
30-Apr-24,5,Me arrepio todas as vezes .
29-Apr-24,5,Great way to wrap up the MCU. Wait... they did more? Why didn't they stop?
18-Apr-24,4.5,Just a bomb ending to this story. Avengers Endgame perfectly complemented the characters with new ch...
17-Apr-24,5,BEST MCU MOVIE EVER!!!!!!!!!!!!!!!!!!! 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆
14-Apr-24,5,This is a great movie.
12-Apr-24,3,"3.25 stars. Way, way too long (over 3 hrs) with too many characters. As a result, never got into the..."
10-Apr-24,5,"The end of the Golden Age of Marvel and the best Marvel movie ever. After Endgame, Marvel became bad..."
09-Apr-24,5,"I dont even have words for this. I support steves decision to go back in time, i just wish he didnt ..."
08-Apr-24,3,The film itself is quite good but it does an excellent job at ruining Infinity war by making them ju...
04-Apr-24,5,An absolute masterpiece
04-Apr-24,5,Greatest movie of all time
01-Apr-24,4.5,Thrilling. The effects are fantastic and the music was bone chilling. Truely an epic end to a fantas...
31-Mar-24,5,"Em toda saga esse trás um grande desafio para todos, tendo que voltar e recuperar a força dos vingad..."
28-Mar-24,4.5,"When it comes to the closing chapter of a franchise (or in this case, the closing chapter of the fir..."
22-Mar-24,5,Fitting end to an over a decade storyline
20-Mar-24,5,What an emotional rollercoaster to end the Infinity Saga that Marvel put into place. These beloved c...
16-Mar-24,5,"Can be termed as one of the Greatest movies of all time!!! But, I suggest better you watch marvel se..."
16-Mar-24,5,ok Endgame was so good. The best movie of all the marvel franchise this was an emotional action pack...
09-Mar-24,5,I can say that this movie is closing story of Avengers. There were many feelings when I was watching...
07-Mar-24,5,This is amazing if you've seen every Marvel project up until this and absolutely baffling if you hav...
06-Mar-24,5,Avengers: Endgame is a masterpiece! It made me cry several times as well... This is definitely one o...
02-Mar-24,2,The death knell of comic book movies. And thank gawd! About time. I loved me some comic books when I...
01-Mar-24,4.5,Nothing in Superhero Land will be the same after Endgame.
28-Feb-24,4.5,This movie has a very doctor who-esque style to the plotline of it
27-Feb-24,4,"Can't top Infinity War or the Winter Soldier but it's a very, very good ending to the culmination of..."
26-Feb-24,5,"Endgame caps off the infinity saga of the MCU beautifully, in an emotional, action packed, three hou..."
24-Feb-24,5,"Couldn't be better, checks all the boxes."
23-Feb-24,4.5,As a big fan of MCU i can say it was good ending of golden age of Marvel . Movie was dope when it dr...
22-Feb-24,3.5,De volta pro futuro com um Hulk ruim assista
22-Feb-24,5,"O melhor filme que vi na minha vida, a empolgação que gera é impressionante."
21-Feb-24,2.5,Didn't fufill the greatness the older movies were building up for me. Wasn't a huge fan.
19-Feb-24,5,"ÓTIMO FILME! Recomendo demais assistir esse filme, mas recomendo assistir tudo que antecede essa obr..."
17-Feb-24,4.5,"While seemingly impossible to top Infinity War, Endgame tries its best. The movie wisely focuses on ..."
16-Feb-24,5,Avengers:Endgame is the pinnacle of the MCU. Excellent ending to an excellent storyline that started...
16-Feb-24,4.5,"Magnífico, emotivo y digno final para la saga del infinito"
15-Feb-24,4,I saw with my father in same cinema 5 years ago it's was amazing and funny
14-Feb-24,5,The best of the best. We are in the endgame now.
12-Feb-24,5,"100/100 Wait, is that a perfect film? Yes it is!"
11-Feb-24,4,"So, I'm not quite an MCU completist - I've seen approximately 2/3 of the movies up to this point - b..."
10-Feb-24,5,"The Best Movie That You Can See, About Superheroes Obviously"
08-Feb-24,3,A bit overrated. Far from the worst but also far from the best. Whoever writes the jokes for these s...
28-Jan-24,5,A satisfying ending to the infinity saga with more emotions then the predecessor! But also has some ...
22-Jan-24,5,Saddest marvel movie that was ever made.
21-Jan-24,5,A great finale!!!!!!
19-Jan-24,4.5,Oh yeah... it's all coming together now.
18-Jan-24,5,Best superhero movie ever!!!
17-Jan-24,5,Best movie ever!! Fact.
17-Jan-24,5,It‘s a cool movie with great fighting scenes and they did it great with the characters and the story
12-Jan-24,5,"Absolutely awesome, perfect and beyond description"
10-Jan-24,5,"It's only okay in the middle, but the buildup and the finale are super good so they completely make ..."
10-Jan-24,4.5,"What a masterpiece! After seeing Infinity War, you wonder how Marvel could have done after what it d..."
09-Jan-24,5,The best movie because when I was there at the movie theater the best parts came and everyone starte...
05-Jan-24,4.5,Purple thing dies = 92-93%
31-Dec-23,5,"Marvel Studios' Avengers: Endgame (2019) was the best Avengers film in the MCU ever, Thanos was the ..."
30-Dec-23,5,"An overarching storyline that goes through, not only the Avengers series, but several other superher..."
30-Dec-23,5,best marvel movie by far GREAT PLOT tragic deaths the highest of highs and the lowest of lows
29-Dec-23,5,"As the last movie of phase 3, this was arguably one of the more sloppy ways to end the saga, but the..."
29-Dec-23,5,Best Super Hero movie yet!
29-Dec-23,4,One of the better MCU films. Great end to a fantastic series of film beginning with Iron Man. Unclea...
26-Dec-23,5,I know I'm in the minority when it comes to film buffs when I say I think Endgame is better than Inf...
24-Dec-23,4,crossover episode ending did not deliver as much as I hoped the end of the golden age of marvel
21-Dec-23,5,"Chaotic, post-apocalyptic, emotional, character driven, hotel? Trivago."
21-Dec-23,4.5,"""Avengers: Endgame"" is an epic masterpiece! Incredible action, emotional depth, and a perfect conclu..."
18-Dec-23,4.5,i like infinity war a lot more but still good
04-Dec-23,5,"COM CERTEZA O AUGE DO CINEMA,FILME MARAVILHOSO"
27-Nov-23,5,Its a AMAZING Movie and the final battle was epic and the fans are like it. its EPIC
27-Nov-23,4,Again they knock it out of the park with another amazing MCU movie! The only thing that I had an iss...
21-Nov-23,5,Best fan service in geek-film history.
18-Nov-23,5,A redeeming movie for all marvle fans.
17-Nov-23,4.5,"Wonderful script, drama at the right time, incredible story. Some plot holes but nothing that affect..."
16-Nov-23,3.5,"There was no possible way that the conclusion to Affinity War could live up to the hype, but this ca..."
15-Nov-23,5,"The culmination of the MCU, the 21st century movie-going experience, and a decade of acting by its b..."
13-Nov-23,5,Best movie OAT it's the GOAT
12-Nov-23,5,the movie was awesome with the final battle and plot and action it was very good film overall infini...
12-Nov-23,5,One of the best movies of all time.
12-Nov-23,5,Long but not boring. The 2-hour build up to the final battle really works as we can spend time inves...
12-Nov-23,5,Perfect conclusion for a decade long journey of the Infinity Saga
12-Nov-23,5,"I love this movie. The amazing conclusion to the Infinity Saga, at the time, felt like the conclusio..."
11-Nov-23,4.5,"I love this one too, nothing more"
11-Nov-23,4,this movie is overhyped. its good but nowhere near the level of infinity war. lets start with positi...
10-Nov-23,5,AMAZING! A movie experience that will never be beat! I've never jumped and cheered in a theater in m...
10-Nov-23,5,"O filme é bem roteirizado e repleto de drama, suspense e ação. Encerra uma fase da saga de forma mag..."
10-Nov-23,5,"This was by far, one of the best marvel movies I have ever seen. Probably even one of the best movie..."
08-Nov-23,4,"This movie was the almost perfect conclusion to the infinity saga, with it having amazing acting, pe..."
08-Nov-23,5,"Best Marvel movie in my opinion. The love letter to the OG six, it was perfect. The finale was legen..."
08-Nov-23,5,Great movie! Can re-watch multiple times. Loved it!
07-Nov-23,3.5,An epic conclusion to a good franchise that understood its roots and its chore. This movie has its f...
06-Nov-23,5,I love watching the guys on my underwear go to therapy.
05-Nov-23,4.5,"I found the movie quite enjoyable but long, it had a cool story and even better scenes and action bu..."
03-Nov-23,5,One of the best movies of our generation. That's all. You need to understand the amount of work that...
31-Oct-23,5,I don't think any marvel or even comic fan has missed this movie. Do I really need to comment this o...
31-Oct-23,5,In the climax to the one of the largest franchises ever we get an emotional background that spends t...
30-Oct-23,1,It was all emotional pandering with no real substance.
30-Oct-23,3.5,Looked good and it was a sufficient end of the era.
29-Oct-23,4.5,The only reason why I took half a star off is that I'm not too big of a fan of superheroes. But I ha...
28-Oct-23,5,A perfect ending to the infinity Saga
28-Oct-23,5,My theater went wild with the ending
27-Oct-23,5,"Filme ótimo, o melhor filme que existe da Marvel, único filme que me trouxe tristeza e alegria ao me..."
27-Oct-23,5,My favorite film of 2019. It had lots of good fight scenes and parts where it was emotional.
24-Oct-23,4,"Mikey's Movie Review: Avengers: Endgame (2019) Avengers: Endgame is a fun packed, emotional ride and..."
21-Oct-23,5,Esta es la mejor peli de super heroes todo en esta peli es como minimo bastante bueno y como maximo ...
20-Oct-23,0.5,"It was boring. Just boring. Just like infinity war, the plot doesn't make any sense. Fat Thor was ju..."
16-Oct-23,5,This movie was beautiful
15-Oct-23,3.5,"In every way, Avengers: Endgame exceeds expectations. It sums up a lot of universe-wide events and i..."
12-Oct-23,3,"Avengers: Endgame, Marvel's big and ridiculously expensive finale, finally hit theaters in mid-2019 ..."
04-Oct-23,3,I have so many issues with this movie. Carol's awful hairstyle? Natasha dying just like that? Clint ...
28-Sep-23,5,A perfect ending to one of the best chain of movies in recent history. It'll be hard for Disney/Marv...
27-Sep-23,5,A cinematic masterpiece that has solidified itself in pop culture history. A star studded cast is ba...
24-Sep-23,5,I love it!! The best avengers movie everrr
23-Sep-23,4.5,"Not a masterpiece, but Avengers Endgame is still amazing. And ends on a high note"
18-Sep-23,5,"This movie is great, satisfying and a must-see ending to the Infinity Saga."
17-Sep-23,0.5,"Taking itself far too seriously; banal and boring. The first 35 minutes, where nothing happened, saw..."
17-Sep-23,5,Possibly the best conclusive chapter of all time 11 years in the making of the MCU and the conclusio...
16-Sep-23,5,"This is the pinnacle of Super Hero movies, everything well written and great characters even the vil..."
13-Sep-23,5,THE MOST EPIC FILM I'VE SEEN IN YEARS
10-Sep-23,5,"This movie had so much to offer it had a lot of action, suspense, and drama This movie was so good t..."
08-Sep-23,4.5,The best of the best
04-Sep-23,4,"Great sequel to a cliffhanger from no.3,super iconic, just toooo good"
03-Sep-23,5,This review does contain SPOLIERS… It's not very often that a movie makes me cry. I'm typically very...
03-Sep-23,5,its the best mcu movie of all time .
02-Sep-23,5,El principio fue un poco aburrido pero lo compensa todo con el mejor final en una película de superh...
31-Aug-23,2,"Review - Avengers: Endgame ""Avengers: Endgame"" is a film of momentous scale, seeking to wrap up a de..."
31-Aug-23,2,Too long. Too convoluted. If you aren't a fan of marvel movies and hadn't seen literally all of them...
30-Aug-23,2,"An unnecessary film, it was complex to deliver the promises from ""Infinity War"" but although having ..."
30-Aug-23,2,"Following the Acclaimed Infinity War, I fully expect this Endgame to be a all-time classic & I have ..."
29-Aug-23,4.5,This movie is amazing but ininfinty war is better in my opinion
28-Aug-23,3.5,lk filme kıyasla kalitesi düşük kalmış. 3 saatlik filmde neredeyse bütün ekran süresinin ana ekibe b...
28-Aug-23,5,I don’t even know where to begin when it comes to this movie.This movie is freaking epic.It’s stunni...
26-Aug-23,4,"It's a whole lot to chew on. The big finale is a great ""hurrah!"" moment, but the intimate moments wi..."
26-Aug-23,5,A perfect conclusion to a franchise! The way they send off characters who we all grew to love was he...
24-Aug-23,5,"Perfect follow up to infinity war, I do believe there were more epic moments in this movie than infi..."
24-Aug-23,4,It was really good. Action packed but dragged on a bit too long.
23-Aug-23,4,"impressive visual effects, stunning cast. it left me a great feeling after every view. I've seen it ..."
22-Aug-23,5,phenomenal. I love it
21-Aug-23,5,this work of art is in my top 3 movies of all time We miss you RDJ!
21-Aug-23,5,"Um filme MUITO bom, que na época fez eu sair do cinema surpreso com o que eu tinha acabado de assist..."
20-Aug-23,5,"O ápice do cinema mundial, poltronas viraram arquibancadas de estádio!!! Muito bom!"
18-Aug-23,5,"This movie is the perfect ending to the infinity sag a of the mcu. It is emotional, heartwarming, fu..."
17-Aug-23,3,Iron man dying really lowered the score than a happier ending would of made it better And it started...
17-Aug-23,5,"Eu amei o filme, no dia que eu fui assistir nos cinemas eu fui com a minha escola"
16-Aug-23,5,"Probably one of the Best movie that I've ever seen on theaters, you just had to be there (Clearly a ..."
15-Aug-23,5,Satisfying conclusion to the infinity saga of the MCU
14-Aug-23,4.5,If Tony & Steve had not died this movie might have been the greatest superhero movie ever but they d...
14-Aug-23,5,"Contains the single best 20 minutes of cinematography, a fantastic 20/10 movie. Story telling throug..."
14-Aug-23,4.5,"The film it is really catchy from beginning to the end, the scenes are amazing and iconic is overall..."
13-Aug-23,5,Está película es la definición de EPICO
08-Aug-23,5,"O MI GAWD MARVEL I LOVE U 300000! fat thor, tony stark, peter quill and captain america. in one movi..."
07-Aug-23,5,The travel time bit should have a significant issue - add time travel to a longstanding narrative an...
07-Aug-23,4.5,Avengers: Endgame is emotionally resonant and makes huge sacrifices for the franchise!
07-Aug-23,5,"Sad that this has to end, been a fun ride."
06-Aug-23,1,I fell asleep in the middle of it and I don't sleep a lot.
05-Aug-23,5,Another Insane Movie! Even better then Infinity War. The final battle is Insane! A great ending for ...
04-Aug-23,5,"Amazing movie, the pacing is incredible and it really did feel like an endgame. The movie is really ..."
04-Aug-23,5,"This is the perfect ending to the infinity saga, an emotional ending and a promising future for the ..."
03-Aug-23,5,Best mcu movie of all time so far and one of the best movies of all time
03-Aug-23,5,The best movie of all time
03-Aug-23,5,"This is the first movie I saw the public cry out on the theaters, an unforgettable experience,this m..."
02-Aug-23,5,The most awesome end of the journey for our Mightiest Heroes on Earth. A must see!
02-Aug-23,0.5,Nebula should die instead of iron man thank you asking.
01-Aug-23,5,The best film I ever seen
01-Aug-23,3,Solid but Infinity War was so much better. Cool ending but basic plot
31-Jul-23,5,I like infinity war better. But this is still an outstanding movie and definitely a fitting conclusi...
31-Jul-23,5,I have probably watched this a dozen times now. The time travel bit should have a big problem - intr...
31-Jul-23,3,"Forgetable, epic, and with one of the worse screenplay in all the story, the development of the char..."
28-Jul-23,4.5,One of the most epic movies of all time it carried the infinity saga but the iron man sacrifice seen...
27-Jul-23,4.5,Endgame was a really awesome cinematic experience. I remember watching it on opening night with all ...
25-Jul-23,0.5,"I used to love this movie so much, but I hate it now. This new time travel way thing makes no sense...."
23-Jul-23,4.5,"Avengers: Endgame delivers an epic and emotionally resonant conclusion to the Infinity Saga, paying ..."
22-Jul-23,5,Thanks for making my childhood a little bit more happy with these incredible movies some better othe...
22-Jul-23,5,AS A REMEMBER THIS WAS A BLAST
21-Jul-23,4.5,"This movie was the perfect finish the Marvel saga, only highlighted further by the feeble attempts m..."
21-Jul-23,4,Story & Plot 8/10 Actors 10/10 Production design 10/10 Costumes 10/10
19-Jul-23,5,"The MCU ended with this movie, for MANY of us. IW and Endgame were peak Marvel. The new stuff is obj..."
17-Jul-23,3,"ok movie, watch if you like avengers"
13-Jul-23,4,"It lacks action, and sometimes lacks potential do to a couple of important characters, being really ..."
12-Jul-23,4.5,"Well, it all comes down to this. The grand finale for the Infinity Saga. It is explosive and great i..."
09-Jul-23,5,Great end to the infinity saga. Doubtful it will be topped.
08-Jul-23,3,It had some sad moments as the last time for a lot of things but I still don't like the ending with ...
07-Jul-23,3.5,"The story is awesome and the characters are great, the action and acting overall was good, just wish..."
07-Jul-23,5,"The culmination of more than a decade's worth of effort, ""Endgame"" safely but powerfully finishes of..."
07-Jul-23,0.5,I honestly believe the only reason why people like this movie so much is because it has all of the s...
03-Jul-23,5,A groundbreaking film and I dare say the most important in the entire history of Marvel production. ...
03-Jul-23,4,A great finish to the Marvel Saga. I believe there were moments that needed to be edited down - I wo...
03-Jul-23,5,"Avengers: Endgame brings all of our favorite characters in the MCU into one ""final"" showdown as they..."
02-Jul-23,4,"Good movie, but a bit boring at times"
02-Jul-23,5,The biggest movie in cinema history and the best fight scene ever.
30-Jun-23,5,A blockbuster conclusion to the Infinity saga that was everything I wanted. This was a masterpiece.
29-Jun-23,5,The absolute best marvel movie of all time And also my favorite movie
28-Jun-23,4,Great characters great story and very sad moments
26-Jun-23,4,Um dos melhores filmes de heróis já feito.
25-Jun-23,5,My favourite movie of all time must watch it.
23-Jun-23,4,Strong final stansa in a long running and entertaining franchise. A 3 hour epic that motors along at...
20-Jun-23,5,The best marvel movie yet
19-Jun-23,3,"É um filme que da para assistir, mas no máximo não passa da nota 8,0."
19-Jun-23,5,one of the best marvel movies ever.
19-Jun-23,4,"It takes a while to get to the point, and the story occasionally hinges on conveniences in order to ..."
18-Jun-23,4.5,Very good can get boring after a few rewatches but very good.
18-Jun-23,5,"I don't need to explain much, this movie is an amazing climax for the infinity saga that begins me l..."
17-Jun-23,4,"O melhor de todos os Vingadores, uma quantidade menor de cenas de luta e uma dose mega extra de dram..."
16-Jun-23,3.5,"It's hard for any of the MCU movies to really live up to the bar set up by Infinity War, and Endgame..."
16-Jun-23,5,One word. Fantastic!
15-Jun-23,4.5,I’m not crying! You’re crying!
15-Jun-23,4.5,"Really good, but they took out my favorite characters so half a star off"
14-Jun-23,5,Best anding in whole cinema history - not only of the movie but the ending of whole saga. In my opin...
14-Jun-23,5,The peak movie of the MCU for decades to come.
14-Jun-23,4,Amazing movie can't say bad about this but it was too long
12-Jun-23,4.5,It should be impossible to tie up all the proceeding films and characters. But this movie does it an...
11-Jun-23,0.5,Just wanted to point out that instead of offing half of the population he could've just doubled the ...
11-Jun-23,5,This is the peak of marvel. Everything they've done for 13 years building to this film. Loved every ...
11-Jun-23,5,everyone loved the movie.
11-Jun-23,5,Wow! Three hours of pure greatness! What a conclusion!
10-Jun-23,4.5,Honestly this feels like a great movie and I love it and how the characters interact
10-Jun-23,5,One of the best movies ever made. Absolutely a must watch to finish out the infinity saga.
09-Jun-23,0.5,"Not my cup of thea, way too much CGI and way too much characters who where played by actors only cau..."
09-Jun-23,5,'Avenger: Endgame' is the perfect ending for the most important saga in superhero movies. Saying goo...
09-Jun-23,5,Amazing start to finish!! One of the best movies I've ever seen!
08-Jun-23,5,Russo Brothers greatly balanced every character and respected their emotions. Once again they recall...
